町丁名,世帯数,男,女
四谷１丁目,17,14,7
四谷２丁目,12,8,10
四谷３丁目,19,12,9
四谷４丁目,176,97,99
四谷本塩町,14,7,10
四谷三栄町,62,43,34
四谷坂町,129,89,78
若葉１丁目,76,62,43
若葉２丁目,45,27,22
若葉３丁目,57,26,37
須賀町,43,30,18
左門町,65,38,31
信濃町,28,8,20
南元町,105,69,59
荒木町,127,78,77
舟町,57,33,28
愛住町,61,51,21
大京町,143,100,65
霞ヶ丘町,6,6,0
内藤町,43,24,29
片町,22,10,12
新宿１丁目,290,167,169
新宿２丁目,99,59,46
新宿３丁目,7,7,7
新宿４丁目,7,3,5
新宿５丁目,232,145,123
新宿６丁目,333,202,218
新宿７丁目,666,445,448
歌舞伎町１丁目,10,8,3
歌舞伎町２丁目,329,172,219
市谷田町１丁目,1,0,1
市谷田町２丁目,11,10,7
市谷田町３丁目,19,6,17
市谷本村町,68,62,67
市谷砂土原町１丁目,1,2,2
市谷砂土原町２丁目,17,13,8
市谷砂土原町３丁目,51,67,46
市谷左内町,10,6,9
市谷加賀町１丁目,1,0,1
市谷加賀町２丁目,62,38,45
市谷甲良町,33,26,17
市谷船河原町,7,8,11
市谷長延寺町,5,1,4
市谷鷹匠町,0,0,0
市谷山伏町,16,10,11
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,6,4,2
神楽坂３丁目,15,11,7
神楽坂４丁目,3,2,2
神楽坂５丁目,7,5,5
神楽坂６丁目,24,15,12
細工町,13,5,10
二十騎町,18,13,11
揚場町,2,2,0
津久戸町,3,2,1
東五軒町,68,33,42
西五軒町,63,46,33
赤城元町,5,3,3
南榎町,37,27,16
袋町,17,14,6
払方町,31,27,29
南町,19,20,10
北町,13,11,6
納戸町,42,28,21
南山伏町,8,7,3
北山伏町,27,13,16
白銀町,29,15,21
下宮比町,11,4,8
矢来町,104,66,60
若宮町,29,34,44
岩戸町,20,12,14
中町,8,8,5
箪笥町,16,10,9
横寺町,18,10,8
筑土八幡町,15,8,13
新小川町,88,48,56
神楽河岸,0,0,0
市谷薬王寺町,155,127,146
市谷柳町,40,26,25
市谷仲之町,140,162,158
赤城下町,40,23,19
天神町,39,20,20
榎町,16,3,13
東榎町,13,5,9
早稲田町,110,58,66
早稲田南町,45,30,20
馬場下町,31,12,23
原町１丁目,59,39,30
原町２丁目,50,39,36
原町３丁目,100,85,101
喜久井町,65,43,35
築地町,11,8,3
弁天町,126,77,77
中里町,9,3,6
山吹町,202,99,128
改代町,23,10,14
水道町,45,26,26
早稲田鶴巻町,414,224,255
住吉町,146,110,101
市谷台町,79,45,50
河田町,287,331,345
若松町,297,256,250
余丁町,169,122,120
戸山１丁目,124,72,81
戸山２丁目,323,163,314
戸山３丁目,75,44,44
富久町,298,202,219
百人町１丁目,969,625,513
百人町２丁目,1313,937,738
百人町３丁目,286,250,263
百人町４丁目,194,175,219
大久保１丁目,1193,720,701
大久保２丁目,1704,1158,1091
大久保３丁目,405,293,343
戸塚町１丁目,21,11,13
西早稲田１丁目,585,326,347
西早稲田２丁目,620,376,337
西早稲田３丁目,697,422,360
高田馬場１丁目,455,272,257
高田馬場２丁目,236,149,109
高田馬場３丁目,789,509,411
高田馬場４丁目,755,544,447
下落合１丁目,542,344,285
下落合２丁目,291,208,161
下落合３丁目,213,134,124
下落合４丁目,322,188,179
中落合１丁目,251,163,133
中落合２丁目,249,164,148
中落合３丁目,141,82,88
中落合４丁目,127,76,81
上落合１丁目,261,183,170
上落合２丁目,259,159,151
上落合３丁目,293,162,174
西落合１丁目,153,73,107
西落合２丁目,169,106,104
西落合３丁目,116,68,62
西落合４丁目,74,44,41
中井１丁目,111,71,55
中井２丁目,138,74,91
北新宿１丁目,1175,786,635
北新宿２丁目,372,261,278
北新宿３丁目,1046,734,614
北新宿４丁目,789,546,491
西新宿１丁目,3,2,1
西新宿２丁目,0,0,0
西新宿３丁目,189,113,100
西新宿４丁目,465,264,263
西新宿５丁目,243,157,190
西新宿６丁目,319,245,217
西新宿７丁目,181,108,100
西新宿８丁目,213,124,136
